start_date	start_datetime	end_datetime	merchant_type	product_family	product_category	product_subcategory	deal_type	deal_title	deal_landing_page	brand	product_name	asin	product_url	" asin_rating "	asin_reviews	deal_price	previous_price	discount_amount	discount_percentage
45012	45012.75	45014.99998842592	Retail	Consumables	Health & Personal Care	5200 Vitamins	DEAL_OF_THE_DAY	ZzzQuul	https://www.amazon.it/deal/9db0454f	Supradyn	Supradyn Ricarica Multivitaminico Completo Vitamine e Minerali per Adulti, Integratore Vitamine A, B, C, D3, E, K, Magnesio, Calcio, Zinco, Selenio e Q10, Gusto Arancia 60 Compresse Rivestite	B01C23EOCW	https://www.amazon.it/dp/B01C23EOCW	4.54327539	6388	14.99	23.5	8.51	0.3621276595744681
45012	45012.75	45014.99998842592	Retail	Hardlines	Wireless	0100 Wireless Phones	DEAL_OF_THE_DAY	Smartphones, Wearables e Altra Telefonia	https://www.amazon.it/deal/bcd7c85f?showVariations=true	Google	Google Pixel 6a - Smartphone 5G Android sbloccato con fotocamera da 12 megapixel e batteria che dura 24 ore, Grigio antracite	B0B4DMBH5T	https://www.amazon.it/dp/B0B4DMBH5T	4.38787099	4495	329	459	130	0.28322440087145967
45012	45012.75	45014.99998842592	Retail	Consumables	Grocery	92000 Beverages	DEAL_OF_THE_DAY	Caffé, Cioccolato e Altro	https://www.amazon.it/deal/1b5caba3?showVariations=true	CAFFÈ BORBONE	Caffè Borbone Cialda Compostabile, Miscela Blu - 150 Cialde - Sistema ESE	B01N1NR31G	https://www.amazon.it/dp/B01N1NR31G	4.57081129	28547	22.59	28	5.41	0.19321428571428573
45012	45012.791666666664	45014.99998842592	Retail	Hardlines	Kitchen	30100 Electric Cookware	DEAL_OF_THE_DAY	Elettrodomestici per la cucina	https://www.amazon.it/deal/36164ad3?showVariations=true	COSORI	COSORI Friggitrice ad Aria 5,5 litri Bianca, Friggitrice Senza Olio, Air Fryer con 13 Funzioni & Promemoria Shake, LED Display, Cestello Facile da Pulire e Senza PFOA,100 Ricette Italiane, 1700W	B0832WLDLC	https://www.amazon.it/dp/B0832WLDLC	4.70785199	43335	118.99	139.99	21	0.15001071505107508
45012	45012.75	45014.99998842592	Retail	Consumables	Personal_Care_Appliances	1200 Oral Care Appliances	DEAL_OF_THE_DAY	Prodotti Oral-B, Philips e altri per la tua igiene orale	https://www.amazon.it/deal/1ad51619?showVariations=true	Oral-B	Oral-B Sensitive Clean Testine di Ricambio per Spazzolino Elettrico, Confezione da 10 Pezzi, Pacco Adatto alla Buca delle Lettere, Bianco	B088GF8VST	https://www.amazon.it/dp/B088GF8VST	4.731912	6642	23.99	49.99	26	0.5201040208041608
45012	45012.75	45014.99998842592	Retail	Consumables	Health & Personal Care	7000 Household Consumables	DEAL_OF_THE_DAY	Prodotti per la cura della casa	https://www.amazon.it/deal/4634affd?showVariations=true&moreDeals=c68cfabc	Swiffer	Swiffer Piumini Catturapolvere, 72 Piumini Duster, Cattura e Intrappola Polvere e Sporco, Raggiunge I Punti Più Difficili Della Casa, Ottimo Per I Peli Di Animali, Maxi Formato	B0BJVTCDPR	https://www.amazon.it/dp/B0BJVTCDPR	4.748945	2169	29.99	44.99	15	0.33340742387197153
45012	45012.75	45014.99998842592	Retail	Consumables	Grocery	92000 Beverages	DEAL_OF_THE_DAY	Caffé, Cioccolato e Altro	https://www.amazon.it/deal/1b5caba3?showVariations=true	Kimbo	Kimbo Capsule Napoli Compatibili Nespresso, Intensità 10/12, 10 Astucci da 10 Capsule (Totale 100 Capsule)	B081ZF9M8F	https://www.amazon.it/dp/B081ZF9M8F	4.4856606	9366	16.07	22.23	6.16	0.2771030139451192
45012	45012.75	45014.99998842592	Retail	Hardlines	Wireless	0100 Wireless Phones	DEAL_OF_THE_DAY	Smartphones, Wearables e Altra Telefonia	https://www.amazon.it/deal/bcd7c85f?showVariations=true	Google	Google Pixel 6a - Smartphone 5G Android sbloccato con fotocamera da 12 megapixel e batteria che dura 24 ore Grigio chiaro	B0B4DN441N	https://www.amazon.it/dp/B0B4DN441N	4.38787099	4495	329	459	130	0.28322440087145967
45012	45012.75	45014.99652777778	3P	Hardlines	Home Improvement	2000 Hardware	DEAL_OF_THE_DAY	Prodotti per la Sicurezza della tua Casa!	https://www.amazon.it/dp/B098JWX4GT	EZVIZ	"EZVIZ CP4 Spioncino Digitale a Batteria 1080p, Video Spioncino Senza Fili con Display Touchscreen da 4,3"" Pollici, Suoneria Campanello Integrata, Visione Notturna, Rilevamento Movimento PIR"	B09PDFWFJJ	https://www.amazon.it/dp/B09PDFWFJJ	4.59681199	1740	135.99			
45012	45012.75	45014.99998842592	Retail	Consumables	Grocery	92000 Beverages	DEAL_OF_THE_DAY	Caffé, Cioccolato e Altro	https://www.amazon.it/deal/1b5caba3?showVariations=true	CAFFÈ BORBONE	Caffè Borbone Cialda Compostabile, Miscela Rossa - 150 Cialde - Sistema ESE	B01MSUK566	https://www.amazon.it/dp/B01MSUK566	4.57081129	28547	19.59	24	4.41	0.18375
